0,'unknown','unknown'
'[''#1'']','[''adrian'']','[''enhancement'']'
'[''#2'']','[''anonymous'']','[''defect'']'
'[''#3'']','[''adrian'']','[''enhancement'']'
'[''#4'']','[''adrian'']','[''enhancement'']'
'[''#5'']','[''adrian'']','[''enhancement'']'
'[''#6'']','[''adrian'']','[''defect'']'
'[''#7'']','[''wilson'']','[''defect'']'
'[''#8'']','[''adrian'']','[''defect'']'
9,'unknown','unknown'
'[''#10'']','[''adrian'']','[''task'']'
'[''#11'']','[''adrian'']','[''defect'']'
'[''#12'']','[''adrian'']','unknown'
'[''#13'']','[''adrian'']','[''New feature'']'
'[''#14'']','[''adrian'']','[''defect'']'
'[''#15'']','[''adrian'']','[''defect'']'
'[''#16'']','[''adrian'']','unknown'
'[''#17'']','[''adrian'']','[''New feature'']'
'[''#18'']','[''adrian'']','[''enhancement'']'
'[''#19'']','[''adrian'']','[''enhancement'']'
'[''#20'']','[''adrian'']','[''enhancement'']'
'[''#21'']','[''adrian'']','[''enhancement'']'
'[''#22'']','[''adrian'']','[''defect'']'
'[''#23'']','[''adrian'']','[''New feature'']'
'[''#24'']','[''adrian'']','[''defect'']'
'[''#25'']','[''adrian'']','[''Bug'']'
'[''#26'']','[''adrian'']','[''Uncategorized'']'
'[''#27'']','[''adrian'']','[''New feature'']'
'[''#28'']','[''adrian'']','[''enhancement'']'
'[''#29'']','[''adrian'']','[''Bug'']'
'[''#30'']','[''jacob'']','[''defect'']'
'[''#31'']','unknown','[''defect'']'
'[''#32'']','[''Martin'']','[''defect'']'
'[''#33'']','[''anonymous'']','[''defect'']'
'[''#34'']','[''deelan'']','[''defect'']'
'[''#35'']','[''JZ'']','[''defect'']'
'[''#36'']','[''james'']','[''defect'']'
'[''#37'']','unknown','[''defect'']'
'[''#38'']','unknown','[''enhancement'']'
'[''#39'']','[''adrian'']','[''defect'']'
'[''#40'']','unknown','[''defect'']'
'[''#41'']','unknown','[''enhancement'']'
'[''#42'']','unknown','[''defect'']'
'[''#43'']','unknown','[''defect'']'
'[''#44'']','[''deelan'']','[''defect'']'
